eco_notes_detailed,id,accommodation_details,eco_focus_tags,gallery_image_urls,primary_image_url,last_verified_date,coordinates,name,source_urls,description_long,digital_nomad_features,city,coworking_details,cafe_details,address_string,category,description_short
"'Surrounded by lush tropical gardens.' Emphasis on a 'peace & tranquility with the smell of fresh garden air.' Offers authentic Thai dishes, potentially using local ingredients.",maybelles-coffee-garden-phuket-hkt-cf,,"[""biophilic_design"", ""local_sourcing""]",[],,2025-05-12,"{""latitude"": null, ""longitude"": null}",Maybelle's Coffee Garden,"[""https://www.maybellescoffeegarden.com/"", ""https://www.tripadvisor.com/Restaurant_Review-g1215780-d23852794-Reviews-Maybelle_s_Coffee_Garden-Karon_Phuket.html""]","Maybelle's Coffee Garden is a cafe and restaurant located in Kata, Phuket. It is set within tranquil tropical gardens, offering a peaceful atmosphere with the smell of fresh garden air. They serve authentic Thai dishes.","[""on_site_food_drink"", ""outdoor_seating_area""]",Phuket,,"{""operating_hours"": null, ""price_indication"": null, ""menu_highlights_cafe"": [""authentic_thai_dishes"", ""coffee""], ""wifi_reliability_notes"": null}","Kata, Phuket",cafe,"Cafe and restaurant in Kata, Phuket, set in tranquil tropical gardens."
"'Situated in a lush garden.' Offers a quiet, natural setting away from hustle and bustle.",sitsip-coffee-phuket-hkt-cf,,"[""biophilic_design""]",[],,2025-05-12,"{""latitude"": null, ""longitude"": null}",Sitsip Coffee,"[""https://www.thingsnomadsdo.com/blog/best-specialty-coffee-in-phuket-thailand""]","Sitsip Coffee is described as a hidden gem cafe located near Surin and Bang Tao beach in Phuket. It is situated in a lush garden, providing a quiet and natural setting away from the hustle and bustle.","[""on_site_food_drink"", ""outdoor_seating_area"", ""quiet_work_zones""]",Phuket,,"{""operating_hours"": null, ""price_indication"": null, ""menu_highlights_cafe"": [""specialty_coffee_beans""], ""wifi_reliability_notes"": null}","Near Surin and Bang Tao beach, Phuket",cafe,"Hidden gem cafe in Phuket, situated in a lush garden, offering a quiet and natural setting."
"'Surrounded by a beautiful garden, which made for a very tranquil setting.' Option for outdoor seating.",hohiho-restaurant-cafe-phuket-hkt-cf,,"[""biophilic_design""]",[],,2025-05-12,"{""latitude"": null, ""longitude"": null}",Hohiho Restaurant & Cafe,"[""https://www.thingsnomadsdo.com/blog/best-specialty-coffee-in-phuket-thailand""]","Hohiho Restaurant & Cafe is a fancy establishment located on a quiet street near Big Buddha in Phuket. It is surrounded by a beautiful garden, offering a tranquil setting and outdoor seating options.","[""on_site_food_drink"", ""outdoor_seating_area"", ""quiet_work_zones""]",Phuket,,"{""operating_hours"": null, ""price_indication"": null, ""menu_highlights_cafe"": [], ""wifi_reliability_notes"": null}","Near Big Buddha, Phuket (quiet street)",cafe,"Fancy cafe and restaurant near Big Buddha, Phuket, surrounded by a beautiful garden."
"Set 'amid a tropical garden.' Serves 'tasty and healthy dishes,' potentially implying fresh, local sourcing.",project-artisan-phuket-garden-eatery-phuket-hkt-cf,,"[""biophilic_design"", ""local_sourcing""]",[],,2025-05-12,"{""latitude"": null, ""longitude"": null}",Project Artisan Phuket (Garden Eatery),"[""https://www.phuket.net/articles/2021/07/10-most-charming-garden-cafes-restaurants-in-phuket/"", ""https://www.phuket.net/directory/?p=121302""]","Project Artisan Phuket, located near Layan Beach, is a hip hang-out spot featuring a Garden Eatery. It is set amidst a tropical garden and serves tasty and healthy dishes, potentially implying fresh, local sourcing.","[""on_site_food_drink"", ""outdoor_seating_area""]",Phuket,,"{""operating_hours"": null, ""price_indication"": null, ""menu_highlights_cafe"": [""healthy_dishes""], ""wifi_reliability_notes"": null}","Near Layan Beach, Phuket",cafe,Hip hang-out spot near Layan Beach with a Garden Eatery set in a tropical garden.
"Vegan and raw food focus inherently promotes more sustainable dietary choices. Likely uses fresh, whole ingredients.",raw-cafe-vegan-bistro-phuket-hkt-cf,,"[""plant_based_menu"", ""local_sourcing""]",[],,2025-05-12,"{""latitude"": null, ""longitude"": null}",Raw Cafe & Vegan Bistro,"[""https://www.tripadvisor.com/Restaurant_Review-g297934-d3844442-Reviews-Raw_Cafe_Vegan_Bistro-Rawai_Phuket.html""]","Raw Cafe & Vegan Bistro, located in Rawai, Phuket, specializes in raw and vegan cuisine. This focus inherently promotes more sustainable dietary choices and likely involves the use of fresh, whole ingredients.","[""on_site_food_drink""]",Phuket,,"{""operating_hours"": null, ""price_indication"": null, ""menu_highlights_cafe"": [""raw_food"", ""vegan_options"", ""healthy_options""], ""wifi_reliability_notes"": null}","Rawai, Phuket",cafe,"Cafe in Rawai, Phuket, focusing on raw and vegan food, promoting sustainable dietary choices."
"Voluntarily treats local community wastewater. 272 million liter rainwater reservoir. Zero waste program: transforms food waste into fertilizer using biotechnology. Daily beach cleaning and regular 'Big Beach Clean' events. Installed solar panels generating 1,000,000 watts daily (with sister resort Katathani). Reviews mention 'jungle view' rooms.",the-shore-at-katathani-phuket-hkt-ac,"{""accommodation_type"": ""resort"", ""price_per_night_thb_range"": null, ""room_types_available"": [""jungle_view_rooms (mentioned in reviews)""], ""specific_amenities_accommodation"": []}","[""water_conservation"", ""waste_reduction"", ""renewable_energy"", ""community_focused"", ""biophilic_design""]",[],,2025-05-12,"{""latitude"": null, ""longitude"": null}",The Shore At Katathani,"[""https://theshorephuket.com/the-green-hotel/index.php"", ""https://www.tripadvisor.com/HotelsList-Phuket-Jungle-Resorts-zfp771079.html""]","The Shore At Katathani is an adult-only resort on Kata Noi Beach, marketing itself as 'The Green Hotel.' It implements several eco-friendly practices, including treating local community wastewater, maintaining a large rainwater reservoir, a zero-waste program transforming food waste into fertilizer, daily beach cleaning, and solar panel installations.",[],Phuket,,,"Kata Noi Beach, Phuket",accommodation,Adult-only 'Green Hotel' resort on Kata Noi Beach with significant water and waste management initiatives.
"Similar initiatives to The Shore: community wastewater treatment, beach cleaning (twice daily + patrols), solar power (1,000,000 watts/day), zero waste (recycles >80% waste, food waste to fertilizer), rainwater reservoir. Produces 'Ko Green' organic, biodegradable soaps on-site. Donates used bottle caps for prosthetic limbs. Educates local students on environmental protection ('Environmental Detectives' program). Winner of Phuket Zero Waste Contest. Tracks and reports Greenhouse Gas Emissions.",katathani-phuket-beach-resort-phuket-hkt-ac,"{""accommodation_type"": ""resort"", ""price_per_night_thb_range"": null, ""room_types_available"": [], ""specific_amenities_accommodation"": []}","[""water_conservation"", ""waste_reduction"", ""renewable_energy"", ""community_focused"", ""eco_education_programs"", ""local_sourcing"", ""plastic_free_initiatives""]",[],,2025-05-12,"{""latitude"": null, ""longitude"": null}",Katathani Phuket Beach Resort,"[""https://www.katathani.com/green-hotel/""]","Katathani Phuket Beach Resort, the sister resort to The Shore At Katathani, is located on Kata Noi Bay and is also marketed as a 'Green Hotel.' It shares similar comprehensive eco-friendly initiatives, including community wastewater treatment, extensive beach cleaning, solar power, a zero-waste program, rainwater harvesting, on-site production of biodegradable soaps, and environmental education programs.",[],Phuket,,,"Kata Noi Bay, Phuket",accommodation,"Sister resort to The Shore, also a 'Green Hotel' on Kata Noi Bay with comprehensive eco-initiatives."
"'Surrounded by lush greenery,' 'nestled beneath the rainforest canopy.' Has a dedicated 'Sustainability' page on its website. Offers 'Pure Cuisine' and 'Holistic Lifestyle' experiences, often indicative of eco-focus. Villas inspired by nature.",keemala-phuket-hkt-ac,"{""accommodation_type"": ""resort"", ""price_per_night_thb_range"": null, ""room_types_available"": [""villas""], ""specific_amenities_accommodation"": []}","[""biophilic_design"", ""sustainable_practices_promotion"", ""local_sourcing""]",[],,2025-05-12,"{""latitude"": null, ""longitude"": null}",Keemala,"[""https://www.keemala.com/""]","Keemala is a 5-star luxury jungle and forest resort located in Kamala, Phuket. It is surrounded by lush greenery and nestled beneath the rainforest canopy. The resort has a dedicated 'Sustainability' page on its website and offers 'Pure Cuisine' and 'Holistic Lifestyle' experiences, often indicative of an eco-focus. Villas are inspired by nature.",[],Phuket,,,"Kamala, Phuket",accommodation,"5-star luxury jungle and forest resort in Kamala, Phuket, with a dedicated sustainability page."
"Certified 'Green Hotel Plus 2024'. Regular beach clean-ups and mangrove planting. Lush gardens nourished by natural fertilizers and on-site compost. Trees and plants selected for low water needs. Deep green cleaning practices. Energy-saving bulbs/LED lighting. Low-flow shower heads and faucet aerators. No single-use plastics, uses glass, reclaimed wood, recycled paper. Own herb and vegetable garden. Locally sourced seafood. 'Zero Miles Cocktails' (utilizing local ingredients, potentially reducing waste). Partners with eco-conscious dive operators and supports Phuket Elephant Sanctuary. 'The Giving Bag' initiative for local children in need.",the-nai-harn-phuket-phuket-hkt-ac,"{""accommodation_type"": ""resort"", ""price_per_night_thb_range"": null, ""room_types_available"": [], ""specific_amenities_accommodation"": [""on_site_restaurant_bar""]}","[""waste_reduction"", ""water_conservation"", ""energy_efficient_systems"", ""plastic_free_initiatives"", ""local_sourcing"", ""organic_food"", ""community_focused"", ""biophilic_design""]",[],,2025-05-12,"{""latitude"": null, ""longitude"": null}",The Nai Harn Phuket,"[""https://www.thenaiharn.com/""]","The Nai Harn Phuket is a luxury resort overlooking Nai Harn Bay and a member of Leading Hotels of the World. It is certified 'Green Hotel Plus 2024' and implements numerous eco-friendly practices including beach clean-ups, mangrove planting, on-site composting, low-water landscaping, green cleaning, energy/water saving fixtures, no single-use plastics, an on-site herb/vegetable garden, locally sourced seafood, and partnerships with eco-conscious operators.",[],Phuket,,,"Nai Harn Bay, Phuket",accommodation,"Luxury resort overlooking Nai Harn Bay, certified 'Green Hotel Plus 2024' with extensive eco-practices."
"Has a dedicated 'Sustainability' page. Emphasis on natural surroundings ('lush greenery'). Offers experiences like visiting an organic goat farm and local markets, suggesting a connection to local/sustainable produce.",banyan-tree-phuket-phuket-hkt-ac,"{""accommodation_type"": ""resort"", ""price_per_night_thb_range"": null, ""room_types_available"": [""pool_villa""], ""specific_amenities_accommodation"": []}","[""biophilic_design"", ""sustainable_practices_promotion"", ""local_sourcing"", ""organic_food""]",[],,2025-05-12,"{""latitude"": null, ""longitude"": null}",Banyan Tree Phuket,"[""https://www.banyantree.com/thailand/phuket""]","Banyan Tree Phuket is an all-pool villa luxury resort located in Cherngtalay, nestled around a lagoon and surrounded by lush greenery. It has a dedicated 'Sustainability' page and offers experiences like visiting an organic goat farm and local markets, suggesting a connection to local and sustainable produce.",[],Phuket,,,"Cherngtalay, Phuket",accommodation,"All-pool villa luxury resort in Cherngtalay, nestled around a lagoon with lush greenery and a sustainability focus."
"Name strongly implies a nature focus. Described as a 'tranquil sanctuary surrounded by the lush green nature.' (Specific eco-initiatives not detailed in the provided snippet, would require checking their sustainability page if available).",the-nature-phuket-phuket-hkt-ac,"{""accommodation_type"": ""resort"", ""price_per_night_thb_range"": null, ""room_types_available"": [], ""specific_amenities_accommodation"": []}","[""biophilic_design""]",[],,2025-05-12,"{""latitude"": null, ""longitude"": null}",The Nature Phuket,"[""https://www.thenaturephuket.com/""]","The Nature Phuket is a 5-star resort located near Patong Beach, overlooking Kalim Bay. Its name strongly implies a nature focus, and it is described as a 'tranquil sanctuary surrounded by the lush green nature.' Specific eco-initiatives would require checking their sustainability page if available.",[],Phuket,,,"Near Patong Beach, overlooking Kalim Bay, Phuket",accommodation,"5-star resort near Patong Beach, described as a tranquil sanctuary surrounded by lush green nature."
"Explicitly states: 'We have always been a sustainable and eco-friendly coworking space.' Project E.ko Hub aims to be entirely off-grid. Uses its own organic farming for its kitchens and grows organic vegetables. Composts food waste and garden leaves. Provides reusable containers for water and food; sorts all waste. Lush 1,500 sqm tropical garden. Hopes to inspire local communities and nomads to adopt sustainable practices.",kohub-koh-lanta-lnt-cw,,"[""sustainable_practices_promotion"", ""renewable_energy"", ""organic_food"", ""waste_reduction"", ""biophilic_design"", ""community_focused"", ""eco_education_programs"", ""plastic_free_initiatives"", ""local_sourcing""]","[""https://kohub.org/img/index/garden.jpg"", ""https://kohub.org/img/index/ekohub.jpg""]",https://kohub.org/img/index/head_11_2019_1.jpg,2025-05-12,"{""latitude"": 7.6095266, ""longitude"": 99.037384}",KoHub,"[""https://kohub.org/"", ""https://kohub.org/eco-hub-sustainable-coworking-thailand"", ""https://colivingcompass.com/region/thailand/coliving/kohub-koh-lanta/"", ""https://alexduggleby.com/blog/a-month-of-tropical-co-working-in-koh-lanta-thailand/"", ""https://www.locationindependent.co.uk/coworking-koh-lanta-nomad-guide/""]","KoHub is a well-known coworking and coliving space on Koh Lanta, operating seasonally (Nov-Apr). It boasts a strong community, fast internet, a tropical garden setting, and significant eco-friendly initiatives including organic farming, composting, waste reduction, and a project aiming for off-grid status.","[""fast_wifi"", ""on_site_food_drink"", ""community_events_networking"", ""coliving_option_available"", ""24_7_access"", ""meeting_rooms_available"", ""skype_booths_call_rooms"", ""printer_scanner_copier"", ""monitor_rental_available""]",Koh Lanta,"{""operating_hours"": ""Open 1st Nov - 30th Apr (High Season), 24 hours a day"", ""pricing_plans"": [], ""specific_amenities_coworking"": [""on_site_cafe_restaurant"", ""outdoor_seating_area"", ""skype_booths_call_rooms"", ""printer_scanner_copier"", ""monitor_rental_available"", ""personal_lockers"", ""event_space_available"", ""coliving_bungalows""]}",,"Koh Lanta, Thailand (exact address to be confirmed)",coworking,"Well-established coworking and coliving space on Koh Lanta, known for its community, fast internet, and strong eco-focus."
"Explicitly states: 'Sustainability @ COWORX.' 'At COWORX we take extensive affords to recycle and to do eveything possible to safe natural resources.' Provides free drinks (coffee, tea, water, soft drinks) using reusable glass bottles and cups, claiming to save ~12,000 plastic bottles per year. Offers free locally produced fair-trade coffee. Transparent electricity pricing for apartments (metered usage) to encourage conscious consumption. Features a relaxing outside area with a fish pond and garden.",coworx-koh-lanta-koh-lanta-lnt-cw,,"[""waste_reduction"", ""plastic_free_initiatives"", ""local_sourcing"", ""energy_efficient_systems"", ""sustainable_practices_promotion""]","[""https://coworx-lanta.com/wp-content/uploads/2025/04/recycle.png"", ""https://coworx-lanta.com/wp-content/uploads/2025/04/drinks.png""]",https://coworx-lanta.com/wp-content/uploads/2025/04/house.png,2025-05-12,"{""latitude"": null, ""longitude"": null}",COWORX Koh Lanta,"[""https://coworx-lanta.com/""]","COWORX Koh Lanta offers shared workspace, coworking, and fully serviced apartments in a co-living setup, located 3 minutes from the beach. They emphasize sustainability, taking extensive efforts to recycle and save natural resources, including providing free drinks in reusable containers to reduce plastic waste and offering locally produced fair-trade coffee.","[""fast_wifi"", ""coliving_option_available"", ""ergonomic_seating"", ""24_7_access"", ""on_site_food_drink"", ""outdoor_seating_area"", ""pet_friendly""]",Koh Lanta,"{""operating_hours"": ""Open 24/7 (for office space)"", ""pricing_plans"": [], ""specific_amenities_coworking"": [""height_adjustable_workstations"", ""ac_rooms"", ""outdoor_kitchen_access"", ""shared_kitchen_access""]}",,"Koh Lanta (3 minutes from the beach, exact address to be confirmed)",coworking,"Coworking and co-living space on Koh Lanta with a focus on sustainability, recycling, and resource saving."
"Name 'Eco Lanta' strongly suggests an eco-focus. 'Made of eco materials, bamboo is the fastest growing plants on earth which makes no pressure on earth.' (booking.com). Tripadvisor image caption: 'Live green and save the nature.'",eco-lanta-hideaway-beach-resort-koh-lanta-lnt-ac,"{""accommodation_type"": ""resort"", ""price_per_night_thb_range"": ""$24 - $106 (Based on Average Rates for a Standard Room - Tripadvisor)"", ""room_types_available"": [""bungalow"", ""family_bungalow"", ""ECO_Dome""], ""specific_amenities_accommodation"": [""outdoor_swimming_pool"", ""beachfront"", ""on_site_restaurant_bar"", ""private_beach_area"", ""bicycle_rental""]}","[""green_building_materials"", ""biophilic_design""]","[""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/44/da/f4/live-green-and-save-the.jpg?w=1800&h=1000&s=1""]",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/92/11/86/photo0jpg.jpg?w=1400&h=800&s=1,2025-05-12,"{""latitude"": null, ""longitude"": null}",Eco Lanta Hideaway Beach Resort,"[""https://www.tripadvisor.com/Hotel_Review-g303905-d9553406-Reviews-Eco_Lanta_Hideaway_Beach_Resort-Ko_Lanta_Krabi_Province.html"", ""https://www.booking.com/hotel/th/eco-lanta-hideaway-beach-resort.html""]","Eco Lanta Hideaway Beach Resort is located along the beachfront of Long Beach in Ko Lanta. The resort features Thai-style bungalows constructed from eco materials, with bamboo being specifically mentioned as a fast-growing, low-impact resource. An image on Tripadvisor also promotes a 'live green and save the nature' ethos.","[""on_site_food_drink""]",Koh Lanta,,,"535 Moo 3 Saladan Subdistrict, Ko Lanta 81150 Thailand (Long Beach)",accommodation,"Beachfront resort on Long Beach, Koh Lanta, with bungalows made of eco materials like bamboo."
